service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
25M-GLOBAUX-01-S,1,1,1,1,1,0,0,20250324,20250613
25M-H50M000S-81-S,1,1,1,1,1,0,0,20250324,20250613
25M-H50M000S-81-SV,0,0,0,0,1,0,0,20250324,20250613
25M-H54M000S-80-S,1,1,1,1,1,0,0,20250324,20250613
25M-H55M000S-80-S,1,1,1,1,1,0,0,20250324,20250613
25M-H55M000S-80-SV,0,0,0,0,1,0,0,20250324,20250613
25M-H56M000S-80-S,1,1,1,1,1,0,0,20250324,20250328
25M-H56M000S-80-SV,0,0,0,0,1,0,0,20250324,20250328
25M-H57M000S-81-S,1,1,1,1,1,0,0,20250324,20250613
25M-H58M000S-80-S,1,1,1,1,1,0,0,20250324,20250613
25M-H59M000S-81-S,1,1,1,1,1,0,0,20250324,20250613
25M-H59M000S-81-SV,0,0,0,0,1,0,0,20250324,20250613
25M-H60M000S-80-S,1,1,1,1,1,0,0,20250324,20250613
25M-H62M000S-80-S,1,1,1,1,1,0,0,20250324,20250613
25M-GLOBAUX-00-A,0,0,0,0,0,1,0,20250329,20250614
25M-H50M000A-81-A,0,0,0,0,0,1,0,20250329,20250614
25M-H54M000A-80-A,0,0,0,0,0,1,0,20250329,20250614
25M-H55M000A-83-A,0,0,0,0,0,1,0,20250329,20250614
25M-H56M000A-80-A,0,0,0,0,0,1,0,20250329,20250329
25M-H57M000A-80-A,0,0,0,0,0,1,0,20250329,20250614
25M-H58M000A-81-A,0,0,0,0,0,1,0,20250329,20250614
25M-H59M000A-81-A,0,0,0,0,0,1,0,20250329,20250329
25M-H60M000A-81-A,0,0,0,0,0,1,0,20250329,20250614
25M-H62M000A-80-A,0,0,0,0,0,1,0,20250329,20250614
25M-GLOBAUX-00-I,0,0,0,0,0,0,1,20250330,20250615
25M-H50M000I-81-I,0,0,0,0,0,0,1,20250330,20250615
25M-H54M000I-80-I,0,0,0,0,0,0,1,20250330,20250615
25M-H55M000I-80-I,0,0,0,0,0,0,1,20250330,20250615
25M-H56M000I-80-I,0,0,0,0,0,0,1,20250330,20250330
25M-H57M000I-80-I,0,0,0,0,0,0,1,20250330,20250615
25M-H58M000I-81-I,0,0,0,0,0,0,1,20250330,20250615
25M-H59M000I-81-I,0,0,0,0,0,0,1,20250330,20250330
25M-H60M000I-80-I,0,0,0,0,0,0,1,20250330,20250615
25M-H62M000I-80-I,0,0,0,0,0,0,1,20250330,20250615
25M-H56M000S-83-S,1,1,1,1,1,0,0,20250331,20250613
25M-H56M000S-83-SV,0,0,0,0,1,0,0,20250331,20250613
25M-H56M000A-82-A,0,0,0,0,0,1,0,20250405,20250614
25M-H59M000A-83-A,0,0,0,0,0,1,0,20250405,20250614
25M-H56M000I-82-I,0,0,0,0,0,0,1,20250406,20250615
25M-H59M000I-83-I,0,0,0,0,0,0,1,20250406,20250615
25M-GLOBAUX-00-F1,0,0,0,0,1,0,0,20250418,20250418
25M-H50M100F-81-F1,0,0,0,0,1,0,0,20250418,20250418
25M-H54M100F-80-F1,0,0,0,0,1,0,0,20250418,20250418
25M-H55M100F-80-F1,0,0,0,0,1,0,0,20250418,20250418
25M-H56M100F-82-F1,0,0,0,0,1,0,0,20250418,20250418
25M-H57M100F-80-F1,0,0,0,0,1,0,0,20250418,20250418
25M-H58M100F-80-F1,0,0,0,0,1,0,0,20250418,20250418
25M-H59M100F-80-F1,0,0,0,0,1,0,0,20250418,20250418
25M-H60M100F-80-F1,0,0,0,0,1,0,0,20250418,20250418
25M-H62M100F-80-F1,0,0,0,0,1,0,0,20250418,20250418
25M-GLOBAUX-00-F2,1,0,0,0,0,0,0,20250421,20250421
25M-H50M200F-80-F2,1,0,0,0,0,0,0,20250421,20250421
25M-H54M200F-80-F2,1,0,0,0,0,0,0,20250421,20250421
25M-H55M200F-80-F2,1,0,0,0,0,0,0,20250421,20250421
25M-H56M200F-82-F2,1,0,0,0,0,0,0,20250421,20250421
25M-H57M200F-80-F2,1,0,0,0,0,0,0,20250421,20250421
25M-H58M200F-80-F2,1,0,0,0,0,0,0,20250421,20250421
25M-H59M200F-80-F2,1,0,0,0,0,0,0,20250421,20250421
25M-H60M200F-80-F2,1,0,0,0,0,0,0,20250421,20250421
25M-H62M200F-80-F2,1,0,0,0,0,0,0,20250421,20250421
25M-GLOBAUX-01-F3,1,0,0,0,0,0,0,20250519,20250519
25M-H50M300F-80-F3,1,0,0,0,0,0,0,20250519,20250519
25M-H54M300F-80-F3,1,0,0,0,0,0,0,20250519,20250519
25M-H55M300F-80-F3,1,0,0,0,0,0,0,20250519,20250519
25M-H56M300F-82-F3,1,0,0,0,0,0,0,20250519,20250519
25M-H57M300F-80-F3,1,0,0,0,0,0,0,20250519,20250519
25M-H58M300F-80-F3,1,0,0,0,0,0,0,20250519,20250519
25M-H59M300F-81-F3,1,0,0,0,0,0,0,20250519,20250519
25M-H60M300F-80-F3,1,0,0,0,0,0,0,20250519,20250519
25M-H62M300F-80-F3,1,0,0,0,0,0,0,20250519,20250519
25U-GLOBAUX-01-S,1,1,1,1,1,0,0,20250616,20250822
25U-H50U000S-81-S,1,1,1,1,1,0,0,20250616,20250822
25U-H50U000S-81-SV,0,0,0,0,1,0,0,20250616,20250822
25U-H54U000S-80-S,1,1,1,1,1,0,0,20250616,20250822
25U-H55U000S-80-S,1,1,1,1,1,0,0,20250616,20250822
25U-H55U000S-80-SV,0,0,0,0,1,0,0,20250616,20250822
25U-H56U000S-80-S,1,1,1,1,1,0,0,20250616,20250822
25U-H56U000S-80-SV,0,0,0,0,1,0,0,20250616,20250822
25U-H57U000S-80-S,1,1,1,1,1,0,0,20250616,20250822
25U-H58U000S-80-S,1,1,1,1,1,0,0,20250616,20250822
25U-H59U000S-81-S,1,1,1,1,1,0,0,20250616,20250822
25U-H59U000S-81-SV,0,0,0,0,1,0,0,20250616,20250822
25U-H60U000S-80-S,1,1,1,1,1,0,0,20250616,20250822
25U-H62U000S-80-S,1,1,1,1,1,0,0,20250616,20250822
25U-GLOBAUX-01-A,0,0,0,0,0,1,0,20250621,20250823
25U-H50U000A-81-A,0,0,0,0,0,1,0,20250621,20250823
25U-H54U000A-80-A,0,0,0,0,0,1,0,20250621,20250823
25U-H55U000A-82-A,0,0,0,0,0,1,0,20250621,20250823
25U-H56U000A-80-A,0,0,0,0,0,1,0,20250621,20250823
25U-H57U000A-80-A,0,0,0,0,0,1,0,20250621,20250823
25U-H58U000A-80-A,0,0,0,0,0,1,0,20250621,20250823
25U-H59U000A-80-A,0,0,0,0,0,1,0,20250621,20250823
25U-H60U000A-80-A,0,0,0,0,0,1,0,20250621,20250823
25U-H62U000A-80-A,0,0,0,0,0,1,0,20250621,20250823
25U-GLOBAUX-01-I,0,0,0,0,0,0,1,20250622,20250824
25U-H50U000I-81-I,0,0,0,0,0,0,1,20250622,20250824
25U-H54U000I-80-I,0,0,0,0,0,0,1,20250622,20250824
25U-H55U000I-81-I,0,0,0,0,0,0,1,20250622,20250824
25U-H56U000I-80-I,0,0,0,0,0,0,1,20250622,20250824
25U-H57U000I-80-I,0,0,0,0,0,0,1,20250622,20250824
25U-H58U000I-80-I,0,0,0,0,0,0,1,20250622,20250824
25U-H59U000I-80-I,0,0,0,0,0,0,1,20250622,20250824
25U-H60U000I-80-I,0,0,0,0,0,0,1,20250622,20250824
25U-H62U000I-80-I,0,0,0,0,0,0,1,20250622,20250824
25U-Globaux-01-F1,0,1,0,0,0,0,0,20250624,20250624
25U-H50U100F-80-F1,0,1,0,0,0,0,0,20250624,20250624
25U-H54U100F-80-F1,0,1,0,0,0,0,0,20250624,20250624
25U-H55U100F-81-F1,0,1,0,0,0,0,0,20250624,20250624
25U-H56U100F-80-F1,0,1,0,0,0,0,0,20250624,20250624
25U-H57U100F-80-F1,0,1,0,0,0,0,0,20250624,20250624
25U-H58U100F-80-F1,0,1,0,0,0,0,0,20250624,20250624
25U-H59U100F-80-F1,0,1,0,0,0,0,0,20250624,20250624
25U-H60U100F-80-F1,0,1,0,0,0,0,0,20250624,20250624
25U-H62U100F-80-F1,0,1,0,0,0,0,0,20250624,20250624
25U-GLOBAUX-01-F2,0,1,0,0,0,0,0,20250701,20250701
25U-H50U200F-80-F2,0,1,0,0,0,0,0,20250701,20250701
25U-H54U200F-80-F2,0,1,0,0,0,0,0,20250701,20250701
25U-H55U200F-81-F2,0,1,0,0,0,0,0,20250701,20250701
25U-H56U200F-80-F2,0,1,0,0,0,0,0,20250701,20250701
25U-H57U200F-80-F2,0,1,0,0,0,0,0,20250701,20250701
25U-H58U200F-80-F2,0,1,0,0,0,0,0,20250701,20250701
25U-H59U200F-80-F2,0,1,0,0,0,0,0,20250701,20250701
25U-H60U200F-80-F2,0,1,0,0,0,0,0,20250701,20250701
25U-H62U200F-80-F2,0,1,0,0,0,0,0,20250701,20250701
