service_id,date,exception_type
25M-GLOBAUX-01-S,20250418,2
25M-GLOBAUX-01-S,20250421,2
25M-GLOBAUX-01-S,20250519,2
25U-GLOBAUX-01-S,20250624,2
25U-GLOBAUX-01-S,20250701,2
25M-H50M000S-81-S,20250418,2
25M-H50M000S-81-SV,20250418,2
25M-H50M000S-81-S,20250421,2
25M-H50M000S-81-S,20250519,2
25U-H50U000S-81-S,20250624,2
25U-H50U000S-81-S,20250701,2
25M-H54M000S-80-S,20250418,2
25M-H54M000S-80-S,20250421,2
25M-H54M000S-80-S,20250519,2
25U-H54U000S-80-S,20250624,2
25U-H54U000S-80-S,20250701,2
25M-H55M000S-80-S,20250418,2
25M-H55M000S-80-SV,20250418,2
25M-H55M000S-80-S,20250421,2
25M-H55M000S-80-S,20250519,2
25U-H55U000S-80-S,20250624,2
25U-H55U000S-80-S,20250701,2
25M-H56M000S-83-S,20250418,2
25M-H56M000S-83-SV,20250418,2
25M-H56M000S-83-S,20250421,2
25M-H56M000S-83-S,20250519,2
25U-H56U000S-80-S,20250624,2
25U-H56U000S-80-S,20250701,2
25M-H57M000S-81-S,20250418,2
25M-H57M000S-81-S,20250421,2
25M-H57M000S-81-S,20250519,2
25U-H57U000S-80-S,20250624,2
25U-H57U000S-80-S,20250701,2
25M-H58M000S-80-S,20250418,2
25M-H58M000S-80-S,20250421,2
25M-H58M000S-80-S,20250519,2
25U-H58U000S-80-S,20250624,2
25U-H58U000S-80-S,20250701,2
25M-H59M000S-81-S,20250418,2
25M-H59M000S-81-SV,20250418,2
25M-H59M000S-81-S,20250421,2
25M-H59M000S-81-S,20250519,2
25U-H59U000S-81-S,20250624,2
25U-H59U000S-81-S,20250701,2
25M-H60M000S-80-S,20250418,2
25M-H60M000S-80-S,20250421,2
25M-H60M000S-80-S,20250519,2
25U-H60U000S-80-S,20250624,2
25U-H60U000S-80-S,20250701,2
25M-H62M000S-80-S,20250418,2
25M-H62M000S-80-S,20250421,2
25M-H62M000S-80-S,20250519,2
25U-H62U000S-80-S,20250624,2
25U-H62U000S-80-S,20250701,2
